"Only Custom Modules","Only Custom Modules"
"All Magento Modules","All Magento Modules"
OK,OK
"CHECK REWRITE","CHECK REWRITE"
N/A,N/A
"Up to Date","Up to Date"
"Update needed","Update needed"
Modules,Modules
"Check Rewrites / Preferences","Check Rewrites / Preferences"
Name,Name
Enabled,Enabled
"Current Version","Current Version"
"Latest Version","Latest Version"
"Theme module","Theme module"
Themes,Themes
WeltPixel,WeltPixel
"WeltPixel Documentation","WeltPixel Documentation"
"Recommended Solutions:","Recommended Solutions:"
Area,Area
"Original Class","Original Class"
"Rewrite Class","Rewrite Class"
Status,Status
